artist_name,Artist_ID,Artist_Image_URL
Post Malone,246dkjvS1zLTtiykXe5h60,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab6761610000e5eb399444ed4eace08b549d1161
HAIM,4Ui2kfOqGujY81UcPrb5KE,https://i.scdn.co/image/ab6761610000e5eb09f7ea29906a367f0648e0bc
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,https://i.scdn.co/image/ab6761610000e5eb58b4b9419486550f6fda0535
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,https://i.scdn.co/image/ab6761610000e5ebe3c37f869b830d1cf1ec829a
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,https://i.scdn.co/image/ab6761610000e5eb626686e362d30246e816cc5b
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,https://i.scdn.co/image/ab6761610000e5ebbd6977f3970a7a4a8d4becbe
Keith Urban,0u2FHSq3ln94y5Q57xazwf,https://i.scdn.co/image/ab6761610000e5eb054c067d4cfa3b8094f3400f
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,https://i.scdn.co/image/ab6761610000e5eba0c87c8f329b436eac8b9784
The Civil Wars,6J7rw7NELJUCThPbAfyLIE,https://i.scdn.co/image/ab6761610000e5eb0bae8ba82eaf7e63af515c9f
The National,2cCUtGK9sDU2EoElnk0GNB,https://i.scdn.co/image/ab6761610000e5ebb6399a59b6016b1d1e8feb67
Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
The Chicks,25IG9fa7cbdmCIy3OnuH57,https://i.scdn.co/image/ab6761610000e5eb43d9d87bba466538f5c40901
BOYS LIKE GIRLS,0vWCyXMrrvMlCcepuOJaGI,https://i.scdn.co/image/ab6761610000e5ebc7f04a5b4bdfd68e31816fc2
Gary Lightbody,3fCQnw6VSudXBTN5d2QP2z,https://i.scdn.co/image/ab6761610000e5eb7ddb04387d61f44573b82959
Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,https://i.scdn.co/image/ab6761610000e5eb50d78514ff06d15be59fbbc3
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,https://i.scdn.co/image/ab6761610000e5eb362011ebe6064c38e97e9aac
Ice Spice,3LZZPxNDGDFVSIPqf4JuEf,https://i.scdn.co/image/ab6761610000e5eb99878733414d6d04a20a5c3e
Hayley Williams,6Rx1JKzBrSzoKQtmbVmBnM,https://i.scdn.co/image/ab6761610000e5ebca3aa12c1b46ff911ad53104
B.o.B,4UXqAaa6dQYAk18Lv7PEgX,https://i.scdn.co/image/ab6761610000e5eb362011ebe6064c38e97e9aac
Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,https://i.scdn.co/image/ab6761610000e5eb3eb9dd5eadac9f592ed84c8b
Joy Williams,4TCXgdDPm10ensLNCVnIYa,https://i.scdn.co/image/ab6761610000e5eb48863119e11161e5c448e5a8
John Paul White,1yDI9pWnlrJmi9kZn3gkCb,https://i.scdn.co/image/ab6761610000e5eb149e9c724c2a112fae9f87e5
Seeb,4MoCPQEZqegox8Ng6SUGrb,https://i.scdn.co/image/ab67616d0000b2730472733b924bb5bffa468799
ELVIRA,3jFQv36BpFuX9vTVB8q7fI,https://i.scdn.co/image/ab67616d0000b2731e6bf0ad16f8189453258eab
Kungs,7keGfmQR4X5w0two1xKZ7d,https://i.scdn.co/image/ab6761610000e5eb01acc309b4854bdb74ad0a73
LP Giobbi,3oKnyRhYWzNsTiss5n4Z1J,https://i.scdn.co/image/ab6761610000e5eb75007ae77d7d942496df5af7
BLOND:ISH,6zsJjoCtL1WByG0VsuFWzR,https://i.scdn.co/image/ab6761610000e5ebe1c0014da200abe8eba9224e
BloodPop®,1okJ4NC308qbtY9LyHn6DO,https://i.scdn.co/image/ab6761610000e5ebdedb069c0fd879a2d87f80b2
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,https://i.scdn.co/image/ab6761610000e5eb7d2bc6ccac87ce7f64c91282
Bleachers,2eam0iDomRHGBypaDQLwWI,https://i.scdn.co/image/ab6761610000e5eb5612e039ce8b2d05e0bac0a9
Fat Max Gsus,4FJvChnzwDxBkD1jzSjNPq,https://i.scdn.co/image/ab67706f00000002e2bb000dfdcbbcd03f0fe51e
ILLENIUM,45eNHdiiabvmbp4erw26rg,https://i.scdn.co/image/ab6761610000e5eb81a0ab3a9a4326929a01b0f1
Clean Bandit,6MDME20pz9RveH9rEXvrOM,https://i.scdn.co/image/ab6761610000e5eb70d80b8ab8e193aef64223ec
Big Red Machine,7gXy60xRcwYujBFoYHnR2O,https://i.scdn.co/image/ab6761610000e5eb7ef9466b2e408a35a3b2f72f
Snakehips,2FwJwEswyIUAljqgjNSHgP,https://i.scdn.co/image/ab6761610000e5ebb72a1f15f8a3c15f726db58a
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,https://i.scdn.co/image/ab6761610000e5ebab4364d80728df548a4f7d77
Digital Dog,1lbp4Rrpi6ug3cGZF9LWXq,https://i.scdn.co/image/ab67616d0000b273e167e6ffdf74d0e7373699de
Jayda G,3NKVm2Jedcf6ibJr6pMUVx,https://i.scdn.co/image/ab6761610000e5ebc70f0ce2058d2def8b44bf3d
Sawyr,0IvBGOcv9xzgOrgGQGMMgp,https://i.scdn.co/image/ab6761610000e5eb31695671c936f28d8aa0f469
Ryan Tedder,4we5S2VLjgY9KzIzApL1KI,https://i.scdn.co/image/ab6761610000e5eb0e0f48d384c940354bcfc7d1
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,https://i.scdn.co/image/ab6761610000e5eb5de44c9558a47909debca2cd
Dombresky,2GVtgxcx7jg5xVCZsIHSGN,https://i.scdn.co/image/ab6761610000e5ebfdba68bb728a9ca7dd0a3238
Nathan Chapman,4V0ERflroZNbEDd6NERZ0J,https://i.scdn.co/image/ab6761610000e5eb32320dd4056db2db968fbf58
Roosevelt,4AQrqVz6BYwy29iMxcGtx7,https://i.scdn.co/image/ab6761610000e5eb05858f274692344c6f5ee13a
Tensnake,75nC6MXUalYZSOd7OfNkwq,https://i.scdn.co/image/ab6761610000e5ebad995629b181da2fae4c167e
Jungle,59oA5WbbQvomJz2BuRG071,https://i.scdn.co/image/ab6761610000e5eb21f6e9ccd576bb2ef541a3fe
Cults,3Oim8XBPbznAa8Jj8QzNc8,https://i.scdn.co/image/ab6761610000e5eb92ec52fb43fbd4d2511a9d1d
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,https://i.scdn.co/image/ab6761610000e5ebcc45cb8a69f59976e2895b8c
Chencho Corleone,37230BxxYs9ksS7OkZw3IU,https://i.scdn.co/image/ab6761610000e5eb7ab9ab65a8d38cad451d3417
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,https://i.scdn.co/image/ab6761610000e5ebdea08796d296a58c5d060439
Cardi B,4kYSro6naA4h99UJvo89HB,https://i.scdn.co/image/ab6761610000e5eb4e8a7e14e2f602eb9af24e31
Bomba Estéreo,5n9bMYfz9qss2VOW89EVs2,https://i.scdn.co/image/ab6761610000e5ebcc4d7c642f167846d8aa743b
